#nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en
1,A,大区分A,Broad Section A,32,04,中区分4:地理学、文化人類学、民俗学およびその関連分野,"Medium-sized Section 4:Geography, cultural anthropology, folklore, and related fields",35,04030,小区分04030:文化人類学および民俗学関連,Basic Section 04030:Cultural anthropology and folklore-related
1,A,大区分A,Broad Section A,32,04,中区分4:地理学、文化人類学、民俗学およびその関連分野,"Medium-sized Section 4:Geography, cultural anthropology, folklore, and related fields",36,80010,小区分80010:地域研究関連,Basic Section 80010:Area studies-related
1,A,大区分A,Broad Section A,32,04,中区分4:地理学、文化人類学、民俗学およびその関連分野,"Medium-sized Section 4:Geography, cultural anthropology, folklore, and related fields",37,80020,小区分80020:観光学関連,Basic Section 80020:Tourism studies-related
1,A,大区分A,Broad Section A,32,04,中区分4:地理学、文化人類学、民俗学およびその関連分野,"Medium-sized Section 4:Geography, cultural anthropology, folklore, and related fields",38,80030,小区分80030:ジェンダー関連,Basic Section 80030:Gender studies-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,40,05010,小区分05010:基礎法学関連,Basic Section 05010:Legal theory and history-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,41,05020,小区分05020:公法学関連,Basic Section 05020:Public law-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,42,05030,小区分05030:国際法学関連,Basic Section 05030:International law-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,43,05040,小区分05040:社会法学関連,Basic Section 05040:Social law-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,44,05050,小区分05050:刑事法学関連,Basic Section 05050:Criminal law-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,45,05060,小区分05060:民事法学関連,Basic Section 05060:Civil law-related
1,A,大区分A,Broad Section A,39,05,中区分5:法学およびその関連分野,Medium-sized Section 5:Law and related fields,46,05070,小区分05070:新領域法学関連,Basic Section 05070:New fields of law-related
1,A,大区分A,Broad Section A,47,06,中区分6:政治学およびその関連分野,Medium-sized Section 6:Political science and related fields,48,06010,小区分06010:政治学関連,Basic Section 06010:Politics-related
