#nii_code,mext_code,jsps_code,name_ja,name_en,name_yomi
0034508,34508,34508,神戸海星女子学院大学,Kobe Kaisei College,コウベカイセイジョシガクインダイガク
0034509,34509,34509,神戸学院大学,Kobe Gakuin University,コウベガクインダイガク
0034523,34523,34523,神戸芸術工科大学,Kobe Design University,コウベゲイジュツコウカダイガク
0034518,34518,34518,神戸国際大学,Kobe International University,コウベコクサイダイガク
0034513,34513,34513,神戸松蔭女子学院大学,Kobe Shoin Women's University,コウベショウインジョシガクインダイガク
0034514,34514,34514,神戸親和女子大学,Kobe Shinwa Women's University,コウベシンワジョシダイガク
0034529,34529,34529,神戸情報大学院大学,Kobe Institute of Computing / Graduate School of Information Technology,コウベジョウホウダイガクインダイガク
0034510,34510,34510,神戸女学院大学,Kobe College,コウベジョガクインダイガク
0034511,34511,34511,神戸女子大学,Kobe Women's University,コウベジョシダイガク
0034535,34535,34535,神戸常盤大学,Kobe Tokiwa University,コウベトキワダイガク
0034512,34512,34512,神戸薬科大学,Kobe Pharmaceutical University,コウベヤッカダイガク
0034527,34527,34527,神戸山手大学,Kobe Yamate University,コウベヤマテダイガク
0034701,34701,34701,高野山大学,Koyasan University,コウヤサンダイガク
0031601,31601,31601,郡山女子大学,Koriyama Women's University,コオリヤマジョシダイガク
0132614,32614,32614,國學院大學,Kokugakuin University,コクガクインダイガク
0032206,32206,32206,国際医療福祉大学,International University of Health and Welfare,コクサイイリョウフクシダイガク
0032615,32615,32615,国際基督教大学,International Christian University,コクサイキリストキョウダイガク
0033102,33102,33102,国際大学,International University of Japan,コクサイダイガク
383029,32828,,国際ファッション専門職大学,Professional Institute of International Fashion,コクサイファッションセンモンショクダイガク
0032697,32697,32697,国際仏教学大学院大学,International College for Postgraduate Buddhist Studies,コクサイブッキョウガクダイガクインダイガク
0032509,32509,32509,国際武道大学,International Budo University,コクサイブドウダイガク
0032616,32616,32616,国士舘大学,Kokushikan University,コクシカンダイガク
0032820,32820,32820,こども教育宝仙大学,Hosen College of Childhood Education,コドモキョウイクホウセンダイガク
0032696,32696,32696,駒沢女子大学,Komazawa Women's University,コマザワジョシダイガク
0032617,32617,32617,駒澤大学,Komazawa University,コマザワダイガク
0032409,32409,32409,埼玉医科大学,Saitama Medical University,サイタマイカダイガク
0032421,32421,32421,埼玉学園大学,Saitama Gakuen University,サイタマガクエンダイガク
0032410,32410,32410,埼玉工業大学,Saitama Institute of Technology,サイタマコウギョウダイガク
0032817,32817,32817,サイバー大学,Cyber University,サイバーダイガク
