Rank	Organisms	Nucleotides	Entries
668	Lactobacillus plantarum	709258627	25662
669	Myzus persicae	708835135	58500
670	Salmonella enterica subsp. enterica	706151473	16666
671	Acyrthosiphon pisum	705980729	477837
672	soda lake metagenome	704625011	69425
673	Helicobacter pylori	703821829	65713
674	Varroa destructor	701392634	22414
675	Yersinia enterocolitica	701239901	22661
676	Pundamilia nyererei	699447408	68828
677	Crassostrea gigas	699317441	281501
678	Heligmosomoides polygyrus bakeri	697008376	23698
679	Carthamus tinctorius	693625706	506751
680	Crassostrea virginica	692908628	15097
681	Panicum hallii	690896145	285710
682	Solanum pimpinellifolium	689875169	310194
683	Patiria pectinifera	689822558	828157
684	Actinidia chinensis	689553313	130572
685	Aquilaria agallochum	689348066	110478
686	Periophthalmus magnuspinnatus	688729318	77199
687	Scartelaos histophorus	688715417	209486
688	Eucalyptus camaldulensis	686529507	345650
689	Formica exsecta	686077497	439597
690	Thunnus orientalis	685408580	134266
691	Manduca sexta	684902911	408282
692	Poecilia mexicana	680978458	51778
693	Oryza longistaminata	680887988	237767
694	Poecilia latipinna	679920709	54803
695	Periophthalmodon schlosseri	675008223	85756
696	Megaloprepus caerulatus	674172430	567810
697	Eurytemora affinis	673909425	368942
698	Silene latifolia subsp. alba	665830796	307763
699	Solanum arcanum	665764248	47103
700	Ancylostoma ceylanicum	662564881	181749
701	Rhodnius prolixus	660834077	195015
702	Embelia ribes	660524920	107027
703	Sebastes minor	660000480	913860
704	Miichthys miiuy	659843220	70446
705	Sebastes nigrocinctus	658985379	97098
706	Haemonchus contortus	657177685	141870
707	Lyrurus tetrix tetrix	657029702	972006
708	Gerris buenoi	653328916	304927
709	Solenopsis invicta	652549443	464943
710	Botryllus schlosseri	649657740	231575
711	Nippostrongylus brasiliensis	649201112	47735
712	Rhizophagus irregularis	645729970	60442
713	Dendroctonus ponderosae	644002660	350649
714	Ocimum tenuiflorum	643847721	352221
715	Heliconius heurippa	642386780	534654
716	Dioscorea alata	641054273	102100
717	Operophtera brumata	638528916	26261
718	Hyalella azteca	636215879	186096
719	Artocarpus camansi	631337610	396126
720	Monopterus albus	631023502	73778
721	Hypsibius dujardini	630358594	88582
722	Pachycereus pringlei	629681287	171619
723	Euglossa dilemma	628423716	54615
724	Bactrocera latifrons	628116330	104376
725	Phoronis australis	627746631	93479
726	Centruroides sculpturatus	627521772	214962
727	Culex quinquefasciatus	627330245	259237
728	Mola mola	626279819	51954
729	Klebsiella aerogenes	625491363	15589
730	Oxytricha trifallax	625381468	70789
731	Heliconius numata bicoloratus	625332644	639955
732	Oryza meridionalis	624521436	97326
733	Notothenia coriiceps	623562055	72723
734	Sebastes steindachneri	621360641	1260557
735	Protopolystoma xenopodis	617352471	316411
736	bovine gut metagenome	616076843	465685
737	Sebastes aleutianus	614408085	120779
738	Anoplophora glabripennis	612948293	101097
739	Coffea canephora	611327870	237288
740	Salmonella enterica subsp. enterica serovar Weltevreden	610563777	10722
741	Clonorchis sinensis	610234856	121098
742	Eragrostis tef	609886414	17560
743	Salmonella enterica subsp. enterica serovar Paratyphi A	608884266	944
744	Schistocephalus solidus	605302385	82655
745	Symbiodinium minutum Mf 1.05b.01	603733232	33816
746	Tetraodon nigroviridis	603186327	315472
747	Porites astreoides	602493203	879055
748	Salmonella enterica subsp. enterica serovar Heidelberg	601992495	13382
749	Cannabis sativa subsp. indica	595360103	311041
750	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	592153782	37749
751	Salmonella enterica subsp. enterica serovar Kentucky	591663077	21610
752	Enterobacter hormaechei subsp. oharae	590108583	10417
753	Dothistroma septosporum	586751578	23235
754	Galleria mellonella	582668992	14227
755	Pisum sativum	581726142	663178
756	Heliconius cydno alithea	581374474	797452
757	Bacillus pseudomycoides	580638000	29273
758	Teladorsagia circumcincta	579074635	219805
759	Thymallus thymallus	578812608	306614
760	Erythranthe guttata	576557529	390733
761	freshwater metagenome	575735331	1265023
762	Anopheles maculatus	573210941	121748
763	Mamestra configurata	571480012	86919
764	Eichhornia paniculata	571391307	40289
765	Acinetobacter pittii	571372527	25611
766	Eufriesea mexicana	571030313	212653
767	Populus trichocarpa	570087039	136127
768	Clostridium botulinum	567757301	30249
769	Bactrocera dorsalis	564254315	132963
770	Betula nana	564225661	551999
771	Zoysia matrella	563650231	13690
772	Cottus rhenanus	563645132	164724
773	Oryza glaberrima	563511908	535130
774	Enterococcus faecalis	563228517	32060
775	Plutella xylostella	562724773	212627
776	Heligmosomoides polygyrus	560820465	44940
777	Xiphophorus hellerii	560516861	108208
778	Corchorus capsularis	560084526	178083
779	Apis mellifera	557354840	278478
780	Xiphophorus couchianus	556803147	74350
781	Dicrocoelium dendriticum	548162408	478932
782	Pseudopleuronectes yokohamae	547988253	525712
783	Mycobacterium avium subsp. hominissuis	547334131	32357
784	Saccharina japonica	544841147	14794
785	Dianthus caryophyllus	542983046	154777
786	Pyrus x bretschneideri	542577129	106089
787	Tipula oleracea	541717155	186904
788	Fusarium fujikuroi	540846776	7958
789	Vitis cinerea x Vitis riparia	539624286	210444
790	Alexandrium tamarense	537098326	683241
791	Chenopodium suecicum	536975899	11236
792	Heliconius melpomene amandus	535199252	625803
793	Brassica oleracea var. capitata	534588481	100688
794	Diaphorina citri	534337935	225622
795	Diphyllobothrium latum	531602346	140416
796	Mycobacterium abscessus subsp. bolletii	530519415	3453
797	Aspergillus flavus	528930521	46148
798	Ceratitis capitata	526982379	53923
799	Lingula anatina	526800527	51770
800	Angiostrongylus cantonensis	522423239	59881
801	Bactrocera tryoni	519527958	32525
802	Salmonella enterica subsp. enterica serovar Newport	519136269	13636
803	Spodoptera litura	518997534	129790
804	Macadamia integrifolia	518743814	193676
805	Holcocephala fusca	516230974	133294
806	Linum usitatissimum	513938766	428572
807	Schistosoma mansoni	511930010	312653
808	Isoperla grammatica	509549412	1218322
809	Fagopyrum tataricum	506593510	7558
810	Aegypius monachus	506578449	284434
811	Papilio xuthus	504964633	85349
812	Handroanthus impetiginosus	503802540	14367
813	Pseudomonas fluorescens	503160006	11625
814	Oryza punctata	500726314	90924
815	Streptococcus equi subsp. equi	498641717	18888
816	Parascaris univalens	496047333	1776
817	Squalus acanthias	495863930	565033
818	Sarcophagidae sp. BV-2014	494580772	287425
819	Persicaria minor	494344613	846508
820	Microbotryum lychnidis-dioicae	492128681	100945
821	Brassica oleracea	492000296	709867
822	Xanthomonas oryzae pv. oryzae	490296615	45682
823	Stylophora pistillata	490224649	96390
824	Pachypsylla venusta	489601594	443877
825	Burkholderia stagnalis	489127848	6316
826	Brassica oleracea var. oleracea	488534210	33773
827	Fusarium oxysporum f. sp. melonis	488333228	23331
828	Klebsiella oxytoca	485034035	9691
829	Populus euphratica	484356841	50112
830	Homarus americanus	483336055	394629
831	Staphylococcus aureus subsp. aureus	482538193	12269
832	Camellia sinensis	481334354	744473
833	Fusarium oxysporum f. sp. niveum	479460334	24745
834	Heliconius pachinus	479088854	561357
835	Diachasma alloeum	477587962	157339
836	Dichanthelium oligosanthes	475642125	76865
837	Fusarium oxysporum f. cucumerinum	474470184	25756
838	Schistosoma japonicum	474278791	245143
839	Monomorium pharaonis	472768627	270295
840	Lottia gigantea	472575376	270510
841	Klebsiella quasipneumoniae subsp. similipneumoniae	470756504	9153
842	Salpa thompsoni	470632261	696115
843	Arachis hypogaea var. vulgaris	468726961	538104
844	Copidosoma floridanum	466973306	92644
845	Rhizophora apiculata	466858389	48527
846	Anopheles sinensis	466644860	171568
847	Zootermopsis nevadensis	464329358	64841
848	Amyelois transitella	463810620	140188
849	Calliphora vicina	460598267	198422
850	Hippocampus comes	459521540	60726
851	Vigna angularis	459179053	70174
852	Brassica rapa subsp. pekinensis	458677973	384110
853	Echinochloa colona	458553227	435164
854	Citrobacter freundii	457209323	13312
855	Agrostis stolonifera	456514150	724026
856	Musa itinerans	455573156	28504
857	Priapulus caudatus	454863950	146402
858	Staphylococcus haemolyticus	454582679	23735
859	Cynoglossus semilaevis	454256992	76377
860	Microbotryum violaceum	454188139	47735
861	unidentified	452470082	1305418
862	Condylostylus patibulatus	451944943	211322
863	Heliothis virescens	451207629	83814
864	Eutrema salsugineum	451012693	39034
865	Vaccinium macrocarpon	449309092	249319
866	Pseudomonas syringae pv. actinidiae	448726628	22705
867	Zizania latifolia	446179701	55624
868	Bombyx huttoni	445584540	720719
869	Nasonia vitripennis	444801524	205934
870	Heliconius melpomene plesseni	441406921	651648
871	Mochlonyx cinctipes	441264227	95131
872	Ciona savignyi	440183146	151369
873	Betula pendula	437301871	8719
874	Bombus terrestris	436244598	274680
875	Salaria pavo	435761667	577682
876	Salmonella enterica subsp. enterica serovar Infantis	434572223	10153
877	Vitis aestivalis	434504304	758461
878	Citrus clementina	432660473	179956
879	Daucus carota subsp. sativus	432545450	26226
880	Ephemera danica	429391776	118168
881	Helicoverpa armigera	428934634	125434
882	Holacanthella duospinosa	426541171	148799
883	Murgantia histrionica	425691042	523104
884	Watasenia scintillans	424758185	448449
885	Cotesia vestalis	424097053	307645
886	Oryctes borbonicus	423815347	26545
887	Arachis hypogaea	421961251	599442
888	Anopheles stephensi	421181333	67472
889	Takifugu rubripes	419800092	112252
890	Arabidopsis halleri subsp. gemmifera	418871493	285490
891	Diploscapter coronatus	416708944	409780
892	Ptyssoptera sp. AB-2015	416337729	516834
893	Callosobruchus maculatus	415848441	436249
894	Glossina morsitans morsitans	414237147	106168
895	Pereskia humboldtii	414047441	126352
896	Cryptococcus neoformans var. grubii	413519391	26945
897	Megaselia abdita	412337236	121421
898	Lasius niger	411025021	151377
899	Ephydra gracilis	410872512	61434
900	Heliconius melpomene bellula	410280352	588993
901	Oryza nivara	410196802	133914
902	Fusarium oxysporum	410087758	28180
903	Linepithema humile	409917362	149186
904	Bacillus subtilis	408415813	25244
905	Musa acuminata subsp. malaccensis	407653990	48972
906	Brassica nigra	407575824	5433
907	Amphiprion bicinctus	406908953	516780
908	Heliconius melpomene cythera	406142178	663427
909	Citrus medica	405923774	34110
910	Daphnia pulex	403357226	176392
911	Taenia solium	402797837	122830
912	Pampus argenteus	401432411	329003
913	Caenorhabditis remanei	399933606	40404
914	Bacillus megaterium	399914733	11956
915	Hynobius retardatus	399868067	741008
916	Cirrula hians	399685866	172401
917	Momordica charantia	398432902	107945
918	Sclerotinia homoeocarpa	397201779	73449
919	Zoysia pacifica	397011377	11430
920	museum specimen metagenome	396545412	656358
921	Neobellieria bullata	396380356	184516
922	Salmonella enterica subsp. enterica serovar Saintpaul	395740573	8406
923	Triticum polonicum	391445439	611756
924	Manihot esculenta subsp. flabellifolia	389664801	94915
925	Ralstonia solanacearum	389065166	18803
926	Calanus finmarchicus	387470540	491844
927	Ricinus communis	387339653	117679
928	Carica papaya	387238142	177302
929	Vicugna pacos	386608863	320457
930	Thlaspi arvense	384878667	40866
931	Heliconius melpomene vulcanus	383788955	573950
932	Gleditsia sinensis	383639348	229361
933	Phlebotomus papatasi	383212929	200090
934	Enterobacter hormaechei	382939358	12084
935	Heliconius pardalinus	381596097	306032
936	Glossina palpalis gambiensis	380667551	47582
937	Acropora digitifera	380278581	55913
938	uncultured marine virus	378427768	461402
939	Heliconius melpomene meriana	378366994	595869
940	Macleaya cordata	378086549	4989
941	Papilio glaucus	375136073	60810
942	Drosophila suzukii	375003108	88246
943	Capitella teleta	373118683	187899
944	Oryza sativa aus subgroup	373090890	3037
945	Kappaphycus alvarezii	372817631	27596
946	Litopenaeus vannamei	368907486	595234
947	Aquilegia coerulea	368749709	97356
948	Drosophila albomicans	367444934	224610
949	Schistosoma margrebowiei	367422055	23364
950	Heliconius cydno weymeri	367217801	547140
951	Gammaproteobacteria bacterium	366788099	15794
952	Zeugodacus cucurbitae	365749018	62071
953	Polistes dominula	365287141	194511
954	Heliconius melpomene ecuadorensis	365269540	625060
955	Heliconius wallacei	365052747	632231
956	Chlorocebus aethiops	363848606	363232
957	Brassica rapa	363602919	151269
958	uncultured organism	363397621	376510
959	Aspergillus niger	361687836	55645
960	Melitaea cinxia	361422934	50484
961	Glossina fuscipes fuscipes	361339026	13671
962	Leptospira interrogans	359670281	23752
963	Citrus cavaleriei	357255397	14970
964	hot springs metagenome	357096606	429147
965	Punica granatum	356983285	95487
966	Heliconius cydno cordula	353819557	468363
967	Mentha longifolia	353777918	191312
968	Glossina austeni	353492271	18651
969	Schistosoma haematobium	353047710	59590
970	Tropilaelaps mercedesae	352590952	33844
971	Oryza barthii	352270136	94236
972	Glossina pallidipes	352230328	8226
973	Eriocheir sinensis	352201882	460569
974	Oesophagostomum dentatum	351951113	138033
975	Salmonella enterica subsp. enterica serovar Tennessee	351091942	12018
976	Pogonus chalceus	350462272	95264
977	Zostera marina	348697479	194922
978	Dunaliella salina	348672728	12807
979	Glossina morsitans	348268571	32980
980	Heliconius cydno cydnides	347569794	506552
981	Klebsiella variicola	347565192	12332
982	Chilo suppressalis	346895132	324379
983	Citrus maxima	346248836	2141
984	Anthopleura elegantissima	344655116	380239
985	Schistosoma curassoni	344229937	60151
986	Marmota monax	343687001	219027
987	Schistosoma rodhaini	343325975	42116
988	Arabis nordmanniana	342318748	267245
989	Tephritis californica	342257700	183295
990	Schistosoma mattheei	340837944	62085
991	Bacillus velezensis	340631564	3601
992	ant fungus garden metagenome	340564769	715524
993	Oryza glumipatula	340239943	81664
994	Chironomus riparius	340195763	104104
995	Heliconius melpomene malleti	340167755	530494
996	Trachymyrmex cornetzi	339100236	60591
997	Microplitis demolitor	338728981	107150
998	Panax ginseng	338552930	295470
999	Anopheles farauti	338049317	31731
1000	Cephus cinctus	337778280	142585
