Rank	Organisms	Nucleotides	Entries
153	Capreolus capreolus	2786421200	3089660
154	Gossypium hirsutum	2778606089	761494
155	Manis javanica	2776524779	170492
156	Aotus nancymaae	2770111251	113729
157	Trichechus manatus latirostris	2769170968	166649
158	Bison bison bison	2758024588	792177
159	Chlorocebus sabaeus	2755690554	201198
160	Okapia johnstoni	2738431269	1213323
161	Cavia porcellus	2735212607	83243
162	Pan paniscus	2733618999	125436
163	Mandrillus leucophaeus	2721628121	246270
164	Cavia aperea	2716435117	3160
165	Stegodyphus mimosarum	2712215922	208110
166	Medicago truncatula	2704931085	496429
167	Apostichopus japonicus	2699938979	1408298
168	Humulus lupulus var. lupulus	2691557982	680627
169	Phalaenopsis hybrid cultivar	2688283156	149916
170	Colobus angolensis palliatus	2680033410	197180
171	Echinops telfairi	2660596384	278256
172	Varroa jacobsoni	2658681312	1099651
173	Tympanoctomys barrerae	2651711110	1558884
174	Ammotragus lervia	2650905065	77366
175	Modiolus philippinarum	2629574925	74576
176	Xenopus tropicalis	2619861417	1649399
177	Capsicum annuum var. glabriusculum	2616229483	121874
178	Giraffa camelopardalis tippelskirchi	2611044239	770988
179	Cebus capucinus imitator	2610518382	140597
180	marine sediment metagenome	2604703810	2031458
181	Mus musculus castaneus	2602627642	56168
182	Mus spretus	2597663146	30192
183	Octomys mimax	2591303298	1257828
184	Ovis canadensis canadensis	2590574434	72
185	Elaphurus davidianus	2584864758	195021
186	Enterobacter cloacae	2581713675	54897
187	Saimiri boliviensis boliviensis	2533927028	151768
188	Octodon degus	2526324531	259993
189	Bos mutus	2525097255	233264
190	Meriones unguiculatus	2523523341	69541
191	Peromyscus maniculatus bairdii	2522283891	290540
192	Mus musculus musculus	2521842071	33628
193	Marmota marmota marmota	2510587943	14544
194	Pantholops hodgsonii	2508261151	298643
195	Bos indicus	2494889455	285759
196	Mesocricetus auratus	2485843028	403778
197	Nothobranchius furzeri	2483774162	965025
198	Panthera pardus	2479380750	266024
199	Pimephales promelas	2477235357	1216302
200	Nicotiana otophora	2474303342	1121559
201	Salmonella enterica subsp. enterica serovar Typhimurium	2473772993	106993
202	Jaculus jaculus	2470576410	337734
203	Psammomys obesus	2468063331	315348
204	Microcebus murinus	2451011459	55744
205	Otolemur garnettii	2441888215	201064
206	Malaclemys terrapin terrapin	2439758557	21690
207	Arachis duranensis	2432695989	440214
208	Oncorhynchus kisutch	2430494601	71697
209	Ovis aries musimon	2430479251	128139
210	Enhydra lutris kenyoni	2425581587	29594
211	Gekko japonicus	2406349192	342517
212	Neomonachus schauinslandi	2401058058	8133
213	Bordetella pertussis	2400165507	237977
214	Ursus maritimus	2398026779	172473
215	Lipotes vexillifer	2397258268	155858
216	Equus asinus	2392136216	3806
217	Strongylocentrotus purpuratus	2392044975	449120
218	Equus przewalskii	2375774226	134442
219	Dioscorea rotundata	2375312014	1312527
220	Solanum pennellii	2374747698	126251
221	Acinonyx jubatus	2373143966	14684
222	Anguilla japonica	2370539512	1235544
223	Mus caroli	2367310112	31269
224	Ceratotherium simum simum	2366863222	57852
225	Lynx pardinus	2363962709	116945
226	Odocoileus virginianus texanus	2358999667	48656
227	Calidris pugnax	2356639557	82676
228	Neotoma lepida	2354160546	119678
229	Aquila chrysaetos canadensis	2351404977	190154
230	Ailurus fulgens styani	2342956520	11591
